Tarih,Mahalle,Elektrik_Tuketim,Su_Tuketim,Dogalgaz_Tuketim
2022-01-01 09:30:00,Çaydaçıra,4503.02,279.64,3157.08
2022-01-01 09:30:00,İzzetpaşa,3797.38,188.16,3017.37
2022-01-01 09:30:00,Sanayi,14419.11,84.2,49.19
2022-01-01 09:30:00,Kültürpark,14162.79,1250.87,13.28
2022-01-01 09:30:00,Universite,6627.42,458.59,2965.62
2022-01-01 10:00:00,Çaydaçıra,5581.87,374.02,3284.01
2022-01-01 10:00:00,İzzetpaşa,3857.62,234.3,2900.49
2022-01-01 10:00:00,Sanayi,13935.75,104.62,50.51
2022-01-01 10:00:00,Kültürpark,10445.74,1469.59,13.87
2022-01-01 10:00:00,Universite,6401.02,401.5,2955.85
2022-01-01 10:30:00,Çaydaçıra,5864.76,295.3,3229.56
2022-01-01 10:30:00,İzzetpaşa,3802.01,272.46,3153.94
2022-01-01 10:30:00,Sanayi,12346.02,94.85,52.35
2022-01-01 10:30:00,Kültürpark,14133.08,1286.27,12.61
2022-01-01 10:30:00,Universite,7321.29,523.63,2986.45
2022-01-01 11:00:00,Çaydaçıra,5664.51,291.1,3241.06
2022-01-01 11:00:00,İzzetpaşa,3518.45,264.95,3122.81
2022-01-01 11:00:00,Sanayi,11550.48,81.93,52.73
2022-01-01 11:00:00,Kültürpark,11889.61,1334.46,13.28
2022-01-01 11:00:00,Universite,6332.25,572.7,2726.38
2022-01-01 11:30:00,Çaydaçıra,5153.46,337.43,3439.53
2022-01-01 11:30:00,İzzetpaşa,3539.36,256.89,2938.85
2022-01-01 11:30:00,Sanayi,14091.38,95.55,50.47
2022-01-01 11:30:00,Kültürpark,15026.22,1310.9,13.84
2022-01-01 11:30:00,Universite,6077.23,515.32,2707.99
2022-01-01 12:00:00,Çaydaçıra,4253.15,266.24,3299.87
2022-01-01 12:00:00,İzzetpaşa,3512.77,186.86,2912.33
2022-01-01 12:00:00,Sanayi,14471.41,79.85,52.54
2022-01-01 12:00:00,Kültürpark,14575.67,1393.74,13.83
2022-01-01 12:00:00,Universite,5872.82,518.42,2954.3
2022-01-01 12:30:00,Çaydaçıra,5231.43,203.53,3391.62
2022-01-01 12:30:00,İzzetpaşa,3636.95,150.98,2922.17
2022-01-01 12:30:00,Sanayi,13634.37,95.8,53.92
2022-01-01 12:30:00,Kültürpark,13636.08,1391.97,14.12
2022-01-01 12:30:00,Universite,6164.61,503.78,2830.73
2022-01-01 13:00:00,Çaydaçıra,5152.22,128.63,3135.06
2022-01-01 13:00:00,İzzetpaşa,4085.76,97.43,2909.75
2022-01-01 13:00:00,Sanayi,13420.37,90.8,51.24
2022-01-01 13:00:00,Kültürpark,16791.72,1235.43,13.11
2022-01-01 13:00:00,Universite,6412.66,517.63,2914.22
2022-01-01 13:30:00,Çaydaçıra,5639.28,116.83,3306.59
2022-01-01 13:30:00,İzzetpaşa,3955.91,100.38,3230.72
2022-01-01 13:30:00,Sanayi,11011.07,95.65,51.86
2022-01-01 13:30:00,Kültürpark,14461.8,1303.45,13.28
2022-01-01 13:30:00,Universite,6009.71,440.97,3172.48
2022-01-01 14:00:00,Çaydaçıra,4821.63,145.02,3271.89
2022-01-01 14:00:00,İzzetpaşa,3825.19,86.34,3001.24
2022-01-01 14:00:00,Sanayi,13891.52,86.58,46.57
2022-01-01 14:00:00,Kültürpark,14021.96,1401.3,13.88
2022-01-01 14:00:00,Universite,6329.83,448.02,2803.65
2022-01-01 14:30:00,Çaydaçıra,4600.89,122.34,3329.19
2022-01-01 14:30:00,İzzetpaşa,3878.9,82.17,3007.62
2022-01-01 14:30:00,Sanayi,13155.33,78.59,53.85
2022-01-01 14:30:00,Kültürpark,15600.04,1327.15,13.4
2022-01-01 14:30:00,Universite,5489.43,422.77,2750.31
2022-01-01 15:00:00,Çaydaçıra,5665.05,120.93,3235.69
2022-01-01 15:00:00,İzzetpaşa,3554.28,91.44,2639.86
2022-01-01 15:00:00,Sanayi,13648.33,88.47,50.57
2022-01-01 15:00:00,Kültürpark,16237.85,1333.49,13.44
2022-01-01 15:00:00,Universite,7056.99,471.12,2673.14
2022-01-01 15:30:00,Çaydaçıra,5492.55,126.81,3198.64
2022-01-01 15:30:00,İzzetpaşa,3742.61,97.9,2902.21
2022-01-01 15:30:00,Sanayi,12874.38,98.97,50.8
2022-01-01 15:30:00,Kültürpark,15535.74,1327.67,13.7
2022-01-01 15:30:00,Universite,6018.55,441.82,2878.86
2022-01-01 16:00:00,Çaydaçıra,5172.07,115.06,3250.09
2022-01-01 16:00:00,İzzetpaşa,4128.08,82.82,3172.0
2022-01-01 16:00:00,Sanayi,13589.75,88.87,49.4
2022-01-01 16:00:00,Kültürpark,17146.32,1098.17,13.97
2022-01-01 16:00:00,Universite,6320.09,512.03,2761.09
2022-01-01 16:30:00,Çaydaçıra,5619.8,123.32,3397.5
2022-01-01 16:30:00,İzzetpaşa,3684.46,96.33,2826.53
2022-01-01 16:30:00,Sanayi,14279.46,99.39,48.74
2022-01-01 16:30:00,Kültürpark,16993.06,1279.65,13.1
2022-01-01 16:30:00,Universite,6103.5,539.74,2872.34
2022-01-01 17:00:00,Çaydaçıra,5079.02,113.85,3423.5
2022-01-01 17:00:00,İzzetpaşa,4084.61,91.38,3056.48
2022-01-01 17:00:00,Sanayi,15493.68,91.78,53.02
2022-01-01 17:00:00,Kültürpark,15790.78,1294.85,13.55
2022-01-01 17:00:00,Universite,6388.44,544.63,2684.3
2022-01-01 17:30:00,Çaydaçıra,6598.69,135.9,3398.44
2022-01-01 17:30:00,İzzetpaşa,4933.31,98.88,2804.12
2022-01-01 17:30:00,Sanayi,15055.64,87.37,48.28
2022-01-01 17:30:00,Kültürpark,17636.51,1472.66,12.69
2022-01-01 17:30:00,Universite,6216.05,458.03,2939.0
2022-01-01 18:00:00,Çaydaçıra,7154.08,203.38,3363.28
2022-01-01 18:00:00,İzzetpaşa,5486.7,124.48,3190.48
2022-01-01 18:00:00,Sanayi,13002.7,95.28,50.29
2022-01-01 18:00:00,Kültürpark,17926.67,1348.48,12.12
2022-01-01 18:00:00,Universite,5896.9,453.05,2846.88
2022-01-01 18:30:00,Çaydaçıra,8186.6,206.26,3319.13
2022-01-01 18:30:00,İzzetpaşa,5208.1,154.32,3232.45
2022-01-01 18:30:00,Sanayi,14893.6,94.0,51.0
2022-01-01 18:30:00,Kültürpark,16326.52,1245.1,13.92
2022-01-01 18:30:00,Universite,5373.49,465.53,2895.44
2022-01-01 19:00:00,Çaydaçıra,7988.39,237.51,3598.0
2022-01-01 19:00:00,İzzetpaşa,5668.91,191.88,3063.51
2022-01-01 19:00:00,Sanayi,14591.94,93.1,47.11
2022-01-01 19:00:00,Kültürpark,16120.83,1330.73,14.02
2022-01-01 19:00:00,Universite,6928.44,457.34,2731.15
2022-01-01 19:30:00,Çaydaçıra,9488.05,249.13,3242.59
2022-01-01 19:30:00,İzzetpaşa,6729.95,153.52,2854.98
2022-01-01 19:30:00,Sanayi,11887.94,81.18,54.1
2022-01-01 19:30:00,Kültürpark,14131.08,1366.0,12.65
2022-01-01 19:30:00,Universite,6983.07,456.25,2614.82
2022-01-01 20:00:00,Çaydaçıra,8154.37,228.89,3485.88
2022-01-01 20:00:00,İzzetpaşa,6608.08,193.52,2912.31
2022-01-01 20:00:00,Sanayi,12616.5,83.16,49.96
2022-01-01 20:00:00,Kültürpark,13599.14,1277.72,13.62
2022-01-01 20:00:00,Universite,6347.53,494.28,2966.93
2022-01-01 20:30:00,Çaydaçıra,8258.95,267.56,3513.91
2022-01-01 20:30:00,İzzetpaşa,6733.83,181.96,3192.65
2022-01-01 20:30:00,Sanayi,14574.65,90.68,48.42
2022-01-01 20:30:00,Kültürpark,10806.57,1141.12,14.87
2022-01-01 20:30:00,Universite,6674.44,515.67,2885.66
2022-01-01 21:00:00,Çaydaçıra,6274.71,237.35,3301.98
2022-01-01 21:00:00,İzzetpaşa,5949.45,187.57,2843.98
2022-01-01 21:00:00,Sanayi,13545.72,82.11,47.29
2022-01-01 21:00:00,Kültürpark,12083.17,1411.8,13.13
2022-01-01 21:00:00,Universite,6206.27,502.22,2765.98
2022-01-01 21:30:00,Çaydaçıra,7318.64,228.86,3450.69
2022-01-01 21:30:00,İzzetpaşa,6533.98,160.06,2996.39
2022-01-01 21:30:00,Sanayi,15488.58,82.29,51.22
2022-01-01 21:30:00,Kültürpark,10528.04,1428.99,14.09
2022-01-01 21:30:00,Universite,7048.52,526.97,3041.14
2022-01-01 22:00:00,Çaydaçıra,6921.77,170.82,3286.76
2022-01-01 22:00:00,İzzetpaşa,5519.47,135.14,3003.41
2022-01-01 22:00:00,Sanayi,15425.81,74.08,54.57
2022-01-01 22:00:00,Kültürpark,8675.47,1175.55,14.83
2022-01-01 22:00:00,Universite,5841.93,497.01,3006.53
2022-01-01 22:30:00,Çaydaçıra,6482.27,151.74,3240.87
2022-01-01 22:30:00,İzzetpaşa,4809.51,107.7,2922.27
2022-01-01 22:30:00,Sanayi,11450.71,73.71,47.77
2022-01-01 22:30:00,Kültürpark,10132.99,1006.76,14.16
2022-01-01 22:30:00,Universite,5417.65,587.62,2687.85
2022-01-01 23:00:00,Çaydaçıra,4775.7,125.95,3260.34
2022-01-01 23:00:00,İzzetpaşa,4350.64,93.99,2797.7
2022-01-01 23:00:00,Sanayi,14210.72,86.35,53.15
2022-01-01 23:00:00,Kültürpark,7985.27,719.67,13.77
2022-01-01 23:00:00,Universite,6064.81,516.83,2815.47
2022-01-01 23:30:00,Çaydaçıra,4589.67,95.22,3367.44
2022-01-01 23:30:00,İzzetpaşa,3248.12,68.21,2911.6
2022-01-01 23:30:00,Sanayi,13787.56,71.68,53.76
2022-01-01 23:30:00,Kültürpark,6003.7,422.11,13.51
2022-01-01 23:30:00,Universite,5862.35,500.19,2838.63
2022-01-02 00:00:00,Çaydaçıra,3366.12,64.14,3115.55
2022-01-02 00:00:00,İzzetpaşa,2734.87,48.96,2829.9
2022-01-02 00:00:00,Sanayi,16532.83,77.29,50.55
2022-01-02 00:00:00,Kültürpark,4341.75,914.69,13.57
2022-01-02 00:00:00,Universite,6546.56,554.99,2782.2
2022-01-02 00:30:00,Çaydaçıra,3577.03,60.68,3645.41
2022-01-02 00:30:00,İzzetpaşa,2511.02,44.82,3009.15
2022-01-02 00:30:00,Sanayi,14879.69,79.81,52.98
2022-01-02 00:30:00,Kültürpark,5118.82,901.63,13.73
2022-01-02 00:30:00,Universite,7156.52,587.61,2676.51
2022-01-02 01:00:00,Çaydaçıra,3075.93,60.58,3166.49
2022-01-02 01:00:00,İzzetpaşa,2215.66,43.06,2929.43
2022-01-02 01:00:00,Sanayi,13334.95,77.45,48.95
2022-01-02 01:00:00,Kültürpark,5123.47,945.74,12.69
2022-01-02 01:00:00,Universite,5879.21,448.51,3011.94
2022-01-02 01:30:00,Çaydaçıra,3581.82,61.68,3149.92
2022-01-02 01:30:00,İzzetpaşa,2438.92,41.89,2935.84
2022-01-02 01:30:00,Sanayi,15034.05,85.71,51.13
2022-01-02 01:30:00,Kültürpark,4787.64,922.81,13.44
2022-01-02 01:30:00,Universite,5897.53,514.66,2991.94
2022-01-02 02:00:00,Çaydaçıra,3066.48,52.33,3151.4
2022-01-02 02:00:00,İzzetpaşa,1868.07,37.0,2666.35
2022-01-02 02:00:00,Sanayi,14382.86,80.28,53.48
2022-01-02 02:00:00,Kültürpark,5450.81,925.45,13.62
2022-01-02 02:00:00,Universite,5714.53,464.31,2939.35
2022-01-02 02:30:00,Çaydaçıra,2887.77,44.35,3231.62
2022-01-02 02:30:00,İzzetpaşa,1874.76,33.26,3017.96
2022-01-02 02:30:00,Sanayi,13396.8,83.46,49.55
2022-01-02 02:30:00,Kültürpark,5806.65,1015.99,13.83
2022-01-02 02:30:00,Universite,7154.3,444.17,2918.98
2022-01-02 03:00:00,Çaydaçıra,2231.92,40.34,3087.61
2022-01-02 03:00:00,İzzetpaşa,1878.72,31.64,2836.54
2022-01-02 03:00:00,Sanayi,15721.97,77.2,51.27
2022-01-02 03:00:00,Kültürpark,5805.95,989.23,14.22
2022-01-02 03:00:00,Universite,5471.92,463.93,2645.88
2022-01-02 03:30:00,Çaydaçıra,2296.5,36.24,3034.43
2022-01-02 03:30:00,İzzetpaşa,2018.91,28.55,2941.26
2022-01-02 03:30:00,Sanayi,13990.07,75.95,51.12
2022-01-02 03:30:00,Kültürpark,5825.11,1053.09,13.61
2022-01-02 03:30:00,Universite,6904.65,417.11,2806.79
2022-01-02 04:00:00,Çaydaçıra,1964.55,31.3,3018.39
2022-01-02 04:00:00,İzzetpaşa,1441.88,24.38,2908.02
2022-01-02 04:00:00,Sanayi,14758.23,79.71,51.02
2022-01-02 04:00:00,Kültürpark,6584.55,1103.74,14.19
2022-01-02 04:00:00,Universite,6852.68,479.44,2705.65
2022-01-02 04:30:00,Çaydaçıra,1581.23,27.06,3351.97
2022-01-02 04:30:00,İzzetpaşa,1529.69,21.2,2770.18
2022-01-02 04:30:00,Sanayi,13112.3,76.78,54.02
2022-01-02 04:30:00,Kültürpark,7129.32,961.38,14.13
2022-01-02 04:30:00,Universite,6945.36,520.81,2938.7
2022-01-02 05:00:00,Çaydaçıra,1958.55,27.0,3381.96
2022-01-02 05:00:00,İzzetpaşa,1344.09,20.64,2857.54
2022-01-02 05:00:00,Sanayi,12791.83,81.9,49.09
2022-01-02 05:00:00,Kültürpark,7541.01,1296.71,13.34
2022-01-02 05:00:00,Universite,5975.82,547.49,2878.06
2022-01-02 05:30:00,Çaydaçıra,1513.32,21.92,3384.7
2022-01-02 05:30:00,İzzetpaşa,974.09,14.38,3092.14
2022-01-02 05:30:00,Sanayi,13089.61,69.63,53.04
2022-01-02 05:30:00,Kültürpark,7153.5,1161.97,13.11
2022-01-02 05:30:00,Universite,5971.47,514.77,2614.9
2022-01-02 06:00:00,Çaydaçıra,1355.54,15.97,3582.91
2022-01-02 06:00:00,İzzetpaşa,1045.45,12.31,2875.06
2022-01-02 06:00:00,Sanayi,13882.32,91.92,51.16
2022-01-02 06:00:00,Kültürpark,7330.64,1124.21,13.45
2022-01-02 06:00:00,Universite,5441.22,549.74,2921.6
2022-01-02 06:30:00,Çaydaçıra,2130.81,56.08,3393.04
2022-01-02 06:30:00,İzzetpaşa,1814.28,42.74,2915.53
2022-01-02 06:30:00,Sanayi,13526.44,78.38,54.64
2022-01-02 06:30:00,Kültürpark,7521.18,1257.8,14.27
2022-01-02 06:30:00,Universite,6608.88,561.89,2634.35
2022-01-02 07:00:00,Çaydaçıra,2876.6,87.3,3379.82
2022-01-02 07:00:00,İzzetpaşa,2150.59,69.41,3085.24
2022-01-02 07:00:00,Sanayi,13207.13,76.62,51.12
2022-01-02 07:00:00,Kültürpark,8722.66,1118.78,13.45
2022-01-02 07:00:00,Universite,6776.61,505.85,2807.73
2022-01-02 07:30:00,Çaydaçıra,4717.56,129.11,3771.11
2022-01-02 07:30:00,İzzetpaşa,3121.76,106.27,3040.66
2022-01-02 07:30:00,Sanayi,12198.15,81.06,48.93
2022-01-02 07:30:00,Kültürpark,9418.24,1399.61,14.08
2022-01-02 07:30:00,Universite,6932.79,435.17,2557.48
2022-01-02 08:00:00,Çaydaçıra,5262.22,166.88,3583.25
2022-01-02 08:00:00,İzzetpaşa,3350.14,121.56,3051.95
2022-01-02 08:00:00,Sanayi,12707.51,91.92,45.89
2022-01-02 08:00:00,Kültürpark,11629.39,1327.23,13.35
2022-01-02 08:00:00,Universite,6691.78,488.35,2718.15
2022-01-02 08:30:00,Çaydaçıra,4993.03,189.26,3426.98
2022-01-02 08:30:00,İzzetpaşa,3313.03,153.49,3230.33
2022-01-02 08:30:00,Sanayi,12562.32,90.99,47.67
2022-01-02 08:30:00,Kültürpark,14159.69,1571.36,13.67
2022-01-02 08:30:00,Universite,7009.91,507.57,3114.91
2022-01-02 09:00:00,Çaydaçıra,4957.24,230.72,3323.11
2022-01-02 09:00:00,İzzetpaşa,3248.39,186.01,3088.8
2022-01-02 09:00:00,Sanayi,13193.19,90.32,48.97
2022-01-02 09:00:00,Kültürpark,12526.6,1393.44,14.06
2022-01-02 09:00:00,Universite,6460.54,502.83,2848.91
2022-01-02 09:30:00,Çaydaçıra,5366.46,317.29,2952.69
2022-01-02 09:30:00,İzzetpaşa,3732.01,194.2,3161.34
2022-01-02 09:30:00,Sanayi,12613.61,90.58,45.27
2022-01-02 09:30:00,Kültürpark,11361.59,1167.44,13.64
2022-01-02 09:30:00,Universite,6824.82,521.27,2752.73
2022-01-02 10:00:00,Çaydaçıra,5011.01,303.03,3156.98
2022-01-02 10:00:00,İzzetpaşa,3954.64,239.39,3181.85
2022-01-02 10:00:00,Sanayi,12896.03,79.52,55.29
2022-01-02 10:00:00,Kültürpark,11183.73,1300.75,13.67
2022-01-02 10:00:00,Universite,6428.61,507.38,2598.78
2022-01-02 10:30:00,Çaydaçıra,4544.04,299.45,3161.33
2022-01-02 10:30:00,İzzetpaşa,3760.92,234.83,2846.74
2022-01-02 10:30:00,Sanayi,13803.81,88.58,47.91
2022-01-02 10:30:00,Kültürpark,11099.74,1125.0,12.82
2022-01-02 10:30:00,Universite,5756.43,485.44,2916.62
2022-01-02 11:00:00,Çaydaçıra,4578.01,327.58,3541.21
2022-01-02 11:00:00,İzzetpaşa,3682.68,228.92,3068.27
2022-01-02 11:00:00,Sanayi,14262.42,100.18,53.12
2022-01-02 11:00:00,Kültürpark,13026.48,1470.32,14.3
2022-01-02 11:00:00,Universite,6254.18,444.11,2709.23
2022-01-02 11:30:00,Çaydaçıra,5172.87,291.73,3440.46
2022-01-02 11:30:00,İzzetpaşa,3732.28,242.47,2917.94
2022-01-02 11:30:00,Sanayi,12347.13,82.56,47.0
2022-01-02 11:30:00,Kültürpark,14901.45,1155.24,12.91
2022-01-02 11:30:00,Universite,6540.73,435.44,2741.7
2022-01-02 12:00:00,Çaydaçıra,4986.43,280.56,3312.63
2022-01-02 12:00:00,İzzetpaşa,3889.44,204.91,2856.54
2022-01-02 12:00:00,Sanayi,13987.83,87.34,54.58
2022-01-02 12:00:00,Kültürpark,15319.15,1227.42,12.61
2022-01-02 12:00:00,Universite,5877.02,464.66,2808.91
2022-01-02 12:30:00,Çaydaçıra,5723.28,190.94,3054.18
2022-01-02 12:30:00,İzzetpaşa,3993.43,140.56,2689.24
2022-01-02 12:30:00,Sanayi,15046.67,95.03,45.08
2022-01-02 12:30:00,Kültürpark,13915.54,1376.72,12.73
2022-01-02 12:30:00,Universite,6324.81,505.47,2843.11
2022-01-02 13:00:00,Çaydaçıra,5695.96,140.72,3315.75
2022-01-02 13:00:00,İzzetpaşa,4016.97,84.3,3092.03
2022-01-02 13:00:00,Sanayi,12383.75,84.3,52.54
2022-01-02 13:00:00,Kültürpark,14644.26,1445.14,12.82
2022-01-02 13:00:00,Universite,6411.37,509.6,2491.66
2022-01-02 13:30:00,Çaydaçıra,5087.26,146.14,3387.55
2022-01-02 13:30:00,İzzetpaşa,4125.41,79.27,2882.68
2022-01-02 13:30:00,Sanayi,13326.65,87.48,49.85
2022-01-02 13:30:00,Kültürpark,14613.53,1359.02,12.74
2022-01-02 13:30:00,Universite,6362.36,399.59,2797.11
2022-01-02 14:00:00,Çaydaçıra,4907.07,150.24,3322.46
2022-01-02 14:00:00,İzzetpaşa,4082.6,89.62,2883.99
2022-01-02 14:00:00,Sanayi,13567.55,84.53,54.18
2022-01-02 14:00:00,Kültürpark,16206.11,1337.86,13.5
2022-01-02 14:00:00,Universite,5766.27,460.77,2695.25
2022-01-02 14:30:00,Çaydaçıra,4818.39,143.63,3047.37
2022-01-02 14:30:00,İzzetpaşa,3699.62,86.78,2849.18
2022-01-02 14:30:00,Sanayi,13794.04,91.57,51.99
2022-01-02 14:30:00,Kültürpark,14313.68,1159.91,14.47
2022-01-02 14:30:00,Universite,5437.94,472.51,2716.23
2022-01-02 15:00:00,Çaydaçıra,5334.57,107.92,3283.83
2022-01-02 15:00:00,İzzetpaşa,4013.17,80.87,2644.91
2022-01-02 15:00:00,Sanayi,14782.87,84.19,46.56
2022-01-02 15:00:00,Kültürpark,12547.63,1396.4,13.13
2022-01-02 15:00:00,Universite,6885.22,472.23,2879.11
2022-01-02 15:30:00,Çaydaçıra,5927.44,108.86,3282.91
2022-01-02 15:30:00,İzzetpaşa,3796.47,87.41,2885.42
2022-01-02 15:30:00,Sanayi,14515.88,85.39,48.43
2022-01-02 15:30:00,Kültürpark,14335.76,1411.92,13.42
2022-01-02 15:30:00,Universite,5877.96,487.79,2723.62
2022-01-02 16:00:00,Çaydaçıra,5182.59,134.36,3219.29
2022-01-02 16:00:00,İzzetpaşa,3779.25,93.6,2975.91
2022-01-02 16:00:00,Sanayi,15309.8,98.42,50.91
2022-01-02 16:00:00,Kültürpark,14724.88,1032.06,13.4
2022-01-02 16:00:00,Universite,5559.2,537.85,2738.82
2022-01-02 16:30:00,Çaydaçıra,5302.43,121.22,2872.34
2022-01-02 16:30:00,İzzetpaşa,3571.85,96.27,3003.94
2022-01-02 16:30:00,Sanayi,15183.35,85.89,52.76
2022-01-02 16:30:00,Kültürpark,14831.95,1180.77,12.61
2022-01-02 16:30:00,Universite,6210.19,498.3,2798.55
2022-01-02 17:00:00,Çaydaçıra,4916.39,112.95,3520.48
