Tarih,Mahalle,Elektrik_Tuketim,Su_Tuketim,Dogalgaz_Tuketim,_id
2022-01-01 01:30:00,Kültürpark,5768.3,1058.78,12.49,6931e45a95082e6ab83ef5d8
2022-01-01 01:30:00,Universite,17309.94,613.76,3819.41,6931e45a95082e6ab83ef5d9
2022-01-01 02:00:00,Çaydaçıra,2394.19,45.06,2749.5,6931e45a95082e6ab83ef5da
2022-01-01 02:00:00,İzzetpaşa,2040.35,33.42,3103.66,6931e45a95082e6ab83ef5db
2022-01-01 02:00:00,Sanayi,13940.63,91.27,51.22,6931e45a95082e6ab83ef5dc
2022-01-01 02:00:00,Kültürpark,5551.06,931.61,13.09,6931e45a95082e6ab83ef5dd
2022-01-01 02:00:00,Universite,15801.21,466.82,4178.47,6931e45a95082e6ab83ef5de
2022-01-01 02:30:00,Çaydaçıra,2758.75,45.56,3225.18,6931e45a95082e6ab83ef5df
2022-01-01 02:30:00,İzzetpaşa,1924.57,36.88,2640.6,6931e45a95082e6ab83ef5e0
2022-01-01 02:30:00,Sanayi,15249.96,85.28,54.51,6931e45a95082e6ab83ef5e1
2022-01-01 02:30:00,Kültürpark,5249.79,1211.72,14.53,6931e45a95082e6ab83ef5e2
2022-01-01 02:30:00,Universite,17786.84,588.63,4450.37,6931e45a95082e6ab83ef5e3
2022-01-01 03:00:00,Çaydaçıra,2605.32,39.06,3136.57,6931e45a95082e6ab83ef5e4
2022-01-01 03:00:00,İzzetpaşa,1820.12,27.94,3053.99,6931e45a95082e6ab83ef5e5
2022-01-01 03:00:00,Sanayi,12619.98,68.02,55.25,6931e45a95082e6ab83ef5e6
2022-01-01 03:00:00,Kültürpark,7019.58,1056.41,14.62,6931e45a95082e6ab83ef5e7
2022-01-01 03:00:00,Universite,16014.0,528.92,4114.59,6931e45a95082e6ab83ef5e8
2022-01-01 03:30:00,Çaydaçıra,2596.65,32.07,2916.21,6931e45a95082e6ab83ef5e9
2022-01-01 03:30:00,İzzetpaşa,1642.33,30.84,2640.93,6931e45a95082e6ab83ef5ea
2022-01-01 03:30:00,Sanayi,12936.23,83.14,46.58,6931e45a95082e6ab83ef5eb
2022-01-01 03:30:00,Kültürpark,5539.03,1079.0,14.38,6931e45a95082e6ab83ef5ec
2022-01-01 03:30:00,Universite,14598.84,450.29,3772.81,6931e45a95082e6ab83ef5ed
2022-01-01 04:00:00,Çaydaçıra,2028.1,27.98,3078.78,6931e45a95082e6ab83ef5ee
2022-01-01 04:00:00,İzzetpaşa,1645.33,26.9,2884.5,6931e45a95082e6ab83ef5ef
2022-01-01 04:00:00,Sanayi,14670.11,77.4,48.12,6931e45a95082e6ab83ef5f0
2022-01-01 04:00:00,Kültürpark,5388.01,1053.86,12.42,6931e45a95082e6ab83ef5f1
2022-01-01 04:00:00,Universite,15950.52,557.97,4375.56,6931e45a95082e6ab83ef5f2
2022-01-01 04:30:00,Çaydaçıra,2057.83,29.81,3340.08,6931e45a95082e6ab83ef5f3
2022-01-01 04:30:00,İzzetpaşa,1539.25,20.29,2542.21,6931e45a95082e6ab83ef5f4
2022-01-01 04:30:00,Sanayi,13091.88,82.3,50.22,6931e45a95082e6ab83ef5f5
2022-01-01 04:30:00,Kültürpark,7651.75,1142.7,14.17,6931e45a95082e6ab83ef5f6
2022-01-01 04:30:00,Universite,15711.76,452.8,4321.89,6931e45a95082e6ab83ef5f7
2022-01-01 05:00:00,Çaydaçıra,1811.48,27.7,2861.86,6931e45a95082e6ab83ef5f8
2022-01-01 05:00:00,İzzetpaşa,1282.04,17.89,3017.4,6931e45a95082e6ab83ef5f9
2022-01-01 05:00:00,Sanayi,11996.61,75.1,52.36,6931e45a95082e6ab83ef5fa
2022-01-01 05:00:00,Kültürpark,5977.15,1125.64,12.86,6931e45a95082e6ab83ef5fb
2022-01-01 05:00:00,Universite,16660.03,527.36,3908.95,6931e45a95082e6ab83ef5fc
2022-01-01 05:30:00,Çaydaçıra,1544.76,20.32,3047.47,6931e45a95082e6ab83ef5fd
2022-01-01 05:30:00,İzzetpaşa,1172.09,15.71,2661.54,6931e45a95082e6ab83ef5fe
2022-01-01 05:30:00,Sanayi,12958.86,79.59,44.86,6931e45a95082e6ab83ef5ff
2022-01-01 05:30:00,Kültürpark,7289.48,1289.65,13.31,6931e45a95082e6ab83ef600
2022-01-01 05:30:00,Universite,16164.53,485.81,4297.4,6931e45a95082e6ab83ef601
2022-01-01 06:00:00,Çaydaçıra,1461.61,16.27,3703.22,6931e45a95082e6ab83ef602
2022-01-01 06:00:00,İzzetpaşa,952.28,11.63,3187.41,6931e45a95082e6ab83ef603
2022-01-01 06:00:00,Sanayi,12436.85,82.66,51.31,6931e45a95082e6ab83ef604
2022-01-01 06:00:00,Kültürpark,7545.87,1354.88,13.07,6931e45a95082e6ab83ef605
2022-01-01 06:00:00,Universite,15830.87,599.37,4129.37,6931e45a95082e6ab83ef606
2022-01-01 06:30:00,Çaydaçıra,2394.7,66.32,3162.11,6931e45a95082e6ab83ef607
2022-01-01 06:30:00,İzzetpaşa,1557.89,35.48,3198.56,6931e45a95082e6ab83ef608
2022-01-01 06:30:00,Sanayi,13137.73,92.15,50.47,6931e45a95082e6ab83ef609
2022-01-01 06:30:00,Kültürpark,9047.01,1291.35,14.32,6931e45a95082e6ab83ef60a
2022-01-01 06:30:00,Universite,15265.6,555.08,3661.39,6931e45a95082e6ab83ef60b
2022-01-01 07:00:00,Çaydaçıra,2957.4,85.33,3503.9,6931e45a95082e6ab83ef60c
2022-01-01 07:00:00,İzzetpaşa,2574.49,68.94,3184.25,6931e45a95082e6ab83ef60d
2022-01-01 07:00:00,Sanayi,14099.56,81.69,53.18,6931e45a95082e6ab83ef60e
2022-01-01 07:00:00,Kültürpark,9658.0,1091.35,13.71,6931e45a95082e6ab83ef60f
2022-01-01 07:00:00,Universite,18345.17,535.02,4196.96,6931e45a95082e6ab83ef610
2022-01-01 07:30:00,Çaydaçıra,4276.43,124.24,3380.73,6931e45a95082e6ab83ef611
2022-01-01 07:30:00,İzzetpaşa,3157.66,101.36,2859.87,6931e45a95082e6ab83ef612
2022-01-01 07:30:00,Sanayi,15341.61,95.76,49.15,6931e45a95082e6ab83ef613
2022-01-01 07:30:00,Kültürpark,12257.46,1380.83,12.52,6931e45a95082e6ab83ef614
2022-01-01 07:30:00,Universite,17671.3,561.73,4420.68,6931e45a95082e6ab83ef615
2022-01-01 08:00:00,Çaydaçıra,5453.11,174.1,3587.95,6931e45a95082e6ab83ef616
2022-01-01 08:00:00,İzzetpaşa,3742.53,122.93,3115.87,6931e45a95082e6ab83ef617
2022-01-01 08:00:00,Sanayi,10949.93,102.92,46.14,6931e45a95082e6ab83ef618
2022-01-01 08:00:00,Kültürpark,11822.73,1317.44,13.89,6931e45a95082e6ab83ef619
2022-01-01 08:00:00,Universite,14745.67,553.97,4149.23,6931e45a95082e6ab83ef61a
2022-01-01 08:30:00,Çaydaçıra,5711.67,173.6,3458.12,6931e45a95082e6ab83ef61b
2022-01-01 08:30:00,İzzetpaşa,3901.55,163.95,3230.36,6931e45a95082e6ab83ef61c
2022-01-01 08:30:00,Sanayi,10539.18,99.57,50.11,6931e45a95082e6ab83ef61d
2022-01-01 08:30:00,Kültürpark,12314.13,1192.5,13.76,6931e45a95082e6ab83ef61e
2022-01-01 08:30:00,Universite,16607.75,551.09,4098.9,6931e45a95082e6ab83ef61f
2022-01-01 09:00:00,Çaydaçıra,4909.38,246.78,3016.47,6931e45a95082e6ab83ef620
2022-01-01 09:00:00,İzzetpaşa,3650.09,195.62,3093.43,6931e45a95082e6ab83ef621
2022-01-01 09:00:00,Sanayi,12643.9,100.06,48.06,6931e45a95082e6ab83ef622
2022-01-01 09:00:00,Kültürpark,13367.91,1214.6,13.95,6931e45a95082e6ab83ef623
2022-01-01 09:00:00,Universite,14724.33,573.44,4253.45,6931e45a95082e6ab83ef624
2022-01-01 09:30:00,Çaydaçıra,4948.28,265.01,3386.02,6931e45a95082e6ab83ef625
2022-01-01 09:30:00,İzzetpaşa,3493.22,228.41,2972.68,6931e45a95082e6ab83ef626
2022-01-01 09:30:00,Sanayi,12500.13,89.43,50.73,6931e45a95082e6ab83ef627
2022-01-01 09:30:00,Kültürpark,14023.13,1189.63,14.46,6931e45a95082e6ab83ef628
2022-01-01 09:30:00,Universite,16559.55,515.54,4131.81,6931e45a95082e6ab83ef629
2022-01-01 10:00:00,Çaydaçıra,4987.03,296.74,3389.95,6931e45a95082e6ab83ef62a
2022-01-01 10:00:00,İzzetpaşa,4092.58,252.07,2985.54,6931e45a95082e6ab83ef62b
2022-01-01 10:00:00,Sanayi,13872.18,93.55,49.5,6931e45a95082e6ab83ef62c
2022-01-01 10:00:00,Kültürpark,13188.65,1269.24,14.05,6931e45a95082e6ab83ef62d
2022-01-01 10:00:00,Universite,15607.09,441.12,4130.06,6931e45a95082e6ab83ef62e
2022-01-01 10:30:00,Çaydaçıra,4565.24,313.6,3489.01,6931e45a95082e6ab83ef62f
2022-01-01 10:30:00,İzzetpaşa,3447.83,269.08,2904.59,6931e45a95082e6ab83ef630
2022-01-01 10:30:00,Sanayi,12915.96,103.99,55.42,6931e45a95082e6ab83ef631
2022-01-01 10:30:00,Kültürpark,13567.82,1319.97,12.98,6931e45a95082e6ab83ef632
2022-01-01 10:30:00,Universite,15796.03,516.13,4153.6,6931e45a95082e6ab83ef633
2022-01-01 11:00:00,Çaydaçıra,5442.61,321.74,3287.41,6931e45a95082e6ab83ef634
2022-01-01 11:00:00,İzzetpaşa,3751.75,231.46,2839.78,6931e45a95082e6ab83ef635
2022-01-01 11:00:00,Sanayi,14605.41,82.94,48.78,6931e45a95082e6ab83ef636
2022-01-01 11:00:00,Kültürpark,12147.1,1423.94,14.07,6931e45a95082e6ab83ef637
2022-01-01 11:00:00,Universite,16123.17,516.51,4390.49,6931e45a95082e6ab83ef638
2022-01-01 11:30:00,Çaydaçıra,4928.19,306.28,3016.93,6931e45a95082e6ab83ef639
2022-01-01 11:30:00,İzzetpaşa,4167.36,252.15,2575.08,6931e45a95082e6ab83ef63a
2022-01-01 11:30:00,Sanayi,14684.57,99.8,49.06,6931e45a95082e6ab83ef63b
2022-01-01 11:30:00,Kültürpark,11995.18,1234.53,14.92,6931e45a95082e6ab83ef63c
2022-01-01 11:30:00,Universite,16213.84,498.91,4127.36,6931e45a95082e6ab83ef63d
2022-01-01 12:00:00,Çaydaçıra,5072.74,238.88,3646.61,6931e45a95082e6ab83ef63e
2022-01-01 12:00:00,İzzetpaşa,3901.95,220.96,2703.31,6931e45a95082e6ab83ef63f
2022-01-01 12:00:00,Sanayi,13921.29,87.72,50.82,6931e45a95082e6ab83ef640
2022-01-01 12:00:00,Kültürpark,13827.16,1326.41,13.46,6931e45a95082e6ab83ef641
2022-01-01 12:00:00,Universite,16599.44,582.74,4001.38,6931e45a95082e6ab83ef642
2022-01-01 12:30:00,Çaydaçıra,5531.19,191.65,3216.71,6931e45a95082e6ab83ef643
2022-01-01 12:30:00,İzzetpaşa,4051.3,153.0,3017.22,6931e45a95082e6ab83ef644
2022-01-01 12:30:00,Sanayi,14422.13,91.4,50.83,6931e45a95082e6ab83ef645
2022-01-01 12:30:00,Kültürpark,14354.84,1400.14,13.88,6931e45a95082e6ab83ef646
2022-01-01 12:30:00,Universite,15005.69,476.64,4128.32,6931e45a95082e6ab83ef647
2022-01-01 13:00:00,Çaydaçıra,4566.65,117.33,3297.77,6931e45a95082e6ab83ef648
2022-01-01 13:00:00,İzzetpaşa,4413.41,100.43,2676.7,6931e45a95082e6ab83ef649
2022-01-01 13:00:00,Sanayi,12820.2,98.69,51.63,6931e45a95082e6ab83ef64a
2022-01-01 13:00:00,Kültürpark,16054.46,1235.83,13.54,6931e45a95082e6ab83ef64b
2022-01-01 13:00:00,Universite,18486.02,453.63,3946.96,6931e45a95082e6ab83ef64c
2022-01-01 13:30:00,Çaydaçıra,5815.24,152.89,3170.53,6931e45a95082e6ab83ef64d
2022-01-01 13:30:00,İzzetpaşa,3773.67,92.23,2980.97,6931e45a95082e6ab83ef64e
2022-01-01 13:30:00,Sanayi,15129.59,93.84,48.83,6931e45a95082e6ab83ef64f
2022-01-01 13:30:00,Kültürpark,11871.55,1066.25,14.07,6931e45a95082e6ab83ef650
2022-01-01 13:30:00,Universite,16003.37,513.41,4644.31,6931e45a95082e6ab83ef651
2022-01-01 14:00:00,Çaydaçıra,4930.02,121.93,3195.86,6931e45a95082e6ab83ef652
2022-01-01 14:00:00,İzzetpaşa,3865.77,95.47,2713.26,6931e45a95082e6ab83ef653
2022-01-01 14:00:00,Sanayi,15856.05,87.45,47.6,6931e45a95082e6ab83ef654
2022-01-01 14:00:00,Kültürpark,14341.78,1325.53,12.76,6931e45a95082e6ab83ef655
2022-01-01 14:00:00,Universite,14530.07,514.73,4368.55,6931e45a95082e6ab83ef656
2022-01-01 14:30:00,Çaydaçıra,6223.41,130.4,3542.03,6931e45a95082e6ab83ef657
2022-01-01 14:30:00,İzzetpaşa,3977.36,84.99,2950.91,6931e45a95082e6ab83ef658
2022-01-01 14:30:00,Sanayi,15812.34,97.43,50.51,6931e45a95082e6ab83ef659
2022-01-01 14:30:00,Kültürpark,16007.04,1246.02,14.0,6931e45a95082e6ab83ef65a
2022-01-01 14:30:00,Universite,15000.77,576.56,3872.61,6931e45a95082e6ab83ef65b
2022-01-01 15:00:00,Çaydaçıra,5716.02,126.81,3095.66,6931e45a95082e6ab83ef65c
2022-01-01 15:00:00,İzzetpaşa,4235.61,103.35,3005.65,6931e45a95082e6ab83ef65d
2022-01-01 15:00:00,Sanayi,14291.03,94.75,49.57,6931e45a95082e6ab83ef65e
2022-01-01 15:00:00,Kültürpark,13398.13,1251.74,14.22,6931e45a95082e6ab83ef65f
2022-01-01 15:00:00,Universite,13801.29,542.39,4187.66,6931e45a95082e6ab83ef660
2022-01-01 15:30:00,Çaydaçıra,5305.46,131.53,3060.39,6931e45a95082e6ab83ef661
2022-01-01 15:30:00,İzzetpaşa,4123.17,98.24,2876.12,6931e45a95082e6ab83ef662
2022-01-01 15:30:00,Sanayi,13522.25,91.12,49.19,6931e45a95082e6ab83ef663
2022-01-01 15:30:00,Kültürpark,15721.9,1499.34,12.98,6931e45a95082e6ab83ef664
2022-01-01 15:30:00,Universite,16875.15,533.35,4119.11,6931e45a95082e6ab83ef665
2022-01-01 16:00:00,Çaydaçıra,5305.4,128.24,3290.14,6931e45a95082e6ab83ef666
2022-01-01 16:00:00,İzzetpaşa,3939.8,83.21,3054.5,6931e45a95082e6ab83ef667
2022-01-01 16:00:00,Sanayi,14343.93,99.76,46.52,6931e45a95082e6ab83ef668
2022-01-01 16:00:00,Kültürpark,14822.4,1410.15,14.29,6931e45a95082e6ab83ef669
2022-01-01 16:00:00,Universite,17583.8,534.1,4508.82,6931e45a95082e6ab83ef66a
2022-01-01 16:30:00,Çaydaçıra,4531.29,125.32,3354.47,6931e45a95082e6ab83ef66b
2022-01-01 16:30:00,İzzetpaşa,3799.82,77.39,2814.15,6931e45a95082e6ab83ef66c
2022-01-01 16:30:00,Sanayi,13617.22,94.77,51.13,6931e45a95082e6ab83ef66d
2022-01-01 16:30:00,Kültürpark,15679.25,1414.62,13.33,6931e45a95082e6ab83ef66e
2022-01-01 16:30:00,Universite,14485.5,493.27,4247.66,6931e45a95082e6ab83ef66f
2022-01-01 17:00:00,Çaydaçıra,6053.49,108.56,3155.42,6931e45a95082e6ab83ef670
2022-01-01 17:00:00,İzzetpaşa,4236.04,79.65,3037.77,6931e45a95082e6ab83ef671
2022-01-01 17:00:00,Sanayi,15266.28,84.55,49.22,6931e45a95082e6ab83ef672
2022-01-01 17:00:00,Kültürpark,16773.7,1002.67,14.43,6931e45a95082e6ab83ef673
2022-01-01 17:00:00,Universite,15103.97,501.96,4257.04,6931e45a95082e6ab83ef674
2022-01-01 17:30:00,Çaydaçıra,5642.02,140.06,3583.02,6931e45a95082e6ab83ef675
2022-01-01 17:30:00,İzzetpaşa,5380.08,101.75,3303.42,6931e45a95082e6ab83ef676
2022-01-01 17:30:00,Sanayi,13526.83,79.07,50.39,6931e45a95082e6ab83ef677
2022-01-01 17:30:00,Kültürpark,15782.63,1072.24,12.55,6931e45a95082e6ab83ef678
2022-01-01 17:30:00,Universite,17357.66,502.55,3923.43,6931e45a95082e6ab83ef679
2022-01-01 18:00:00,Çaydaçıra,7458.3,180.93,3174.46,6931e45a95082e6ab83ef67a
2022-01-01 18:00:00,İzzetpaşa,5235.6,132.66,2992.14,6931e45a95082e6ab83ef67b
2022-01-01 18:00:00,Sanayi,15979.91,93.82,48.44,6931e45a95082e6ab83ef67c
2022-01-01 18:00:00,Kültürpark,18147.77,1298.83,13.45,6931e45a95082e6ab83ef67d
2022-01-01 18:00:00,Universite,13163.34,483.76,4298.88,6931e45a95082e6ab83ef67e
2022-01-01 18:30:00,Çaydaçıra,7154.9,239.42,3224.98,6931e45a95082e6ab83ef67f
2022-01-01 18:30:00,İzzetpaşa,5020.85,148.34,3020.04,6931e45a95082e6ab83ef680
2022-01-01 18:30:00,Sanayi,15713.94,73.78,44.57,6931e45a95082e6ab83ef681
2022-01-01 18:30:00,Kültürpark,17131.46,1367.79,13.85,6931e45a95082e6ab83ef682
2022-01-01 18:30:00,Universite,14817.54,456.79,4471.21,6931e45a95082e6ab83ef683
2022-01-01 19:00:00,Çaydaçıra,7716.3,241.46,3403.91,6931e45a95082e6ab83ef684
2022-01-01 19:00:00,İzzetpaşa,6738.46,195.19,3137.06,6931e45a95082e6ab83ef685
2022-01-01 19:00:00,Sanayi,14261.39,94.46,51.18,6931e45a95082e6ab83ef686
2022-01-01 19:00:00,Kültürpark,13999.78,1211.94,13.55,6931e45a95082e6ab83ef687
2022-01-01 19:00:00,Universite,17572.34,526.88,4477.93,6931e45a95082e6ab83ef688
2022-01-01 19:30:00,Çaydaçıra,8535.82,255.07,3357.53,6931e45a95082e6ab83ef689
2022-01-01 19:30:00,İzzetpaşa,6466.92,177.14,2925.38,6931e45a95082e6ab83ef68a
2022-01-01 19:30:00,Sanayi,12613.83,93.32,52.11,6931e45a95082e6ab83ef68b
2022-01-01 19:30:00,Kültürpark,14684.7,1229.08,14.93,6931e45a95082e6ab83ef68c
2022-01-01 19:30:00,Universite,14009.58,408.66,4177.11,6931e45a95082e6ab83ef68d
2022-01-01 20:00:00,Çaydaçıra,9958.95,209.89,3322.84,6931e45a95082e6ab83ef68e
2022-01-01 20:00:00,İzzetpaşa,6182.94,184.62,3217.77,6931e45a95082e6ab83ef68f
2022-01-01 20:00:00,Sanayi,14838.8,89.63,46.61,6931e45a95082e6ab83ef690
2022-01-01 20:00:00,Kültürpark,14959.53,1064.69,13.72,6931e45a95082e6ab83ef691
2022-01-01 20:00:00,Universite,15567.89,555.44,4484.47,6931e45a95082e6ab83ef692
2022-01-01 20:30:00,Çaydaçıra,9370.61,219.73,3501.45,6931e45a95082e6ab83ef693
2022-01-01 20:30:00,İzzetpaşa,5606.84,180.64,3087.12,6931e45a95082e6ab83ef694
2022-01-01 20:30:00,Sanayi,15338.59,78.57,50.78,6931e45a95082e6ab83ef695
2022-01-01 20:30:00,Kültürpark,12232.68,1314.17,13.23,6931e45a95082e6ab83ef696
2022-01-01 20:30:00,Universite,13662.74,520.72,3910.41,6931e45a95082e6ab83ef697
2022-01-01 21:00:00,Çaydaçıra,8209.99,242.2,3259.93,6931e45a95082e6ab83ef698
2022-01-01 21:00:00,İzzetpaşa,5947.59,187.67,3161.67,6931e45a95082e6ab83ef699
2022-01-01 21:00:00,Sanayi,14608.41,86.91,49.31,6931e45a95082e6ab83ef69a
2022-01-01 21:00:00,Kültürpark,12559.78,1433.08,13.56,6931e45a95082e6ab83ef69b
2022-01-01 21:00:00,Universite,14622.02,588.12,3979.04,6931e45a95082e6ab83ef69c
2022-01-01 21:30:00,Çaydaçıra,7287.11,228.97,3485.26,6931e45a95082e6ab83ef69d
2022-01-01 21:30:00,İzzetpaşa,5652.0,149.49,3143.87,6931e45a95082e6ab83ef69e
2022-01-01 21:30:00,Sanayi,15362.93,77.77,51.26,6931e45a95082e6ab83ef69f
2022-01-01 21:30:00,Kültürpark,10321.87,1516.99,13.17,6931e45a95082e6ab83ef6a0
2022-01-01 21:30:00,Universite,15267.81,572.8,4554.68,6931e45a95082e6ab83ef6a1
2022-01-01 22:00:00,Çaydaçıra,6626.76,190.88,3474.23,6931e45a95082e6ab83ef6a2
2022-01-01 22:00:00,İzzetpaşa,5584.95,141.24,2935.93,6931e45a95082e6ab83ef6a3
2022-01-01 22:00:00,Sanayi,15113.38,82.45,54.35,6931e45a95082e6ab83ef6a4
2022-01-01 22:00:00,Kültürpark,8835.64,1408.74,13.62,6931e45a95082e6ab83ef6a5
2022-01-01 22:00:00,Universite,16966.95,512.93,3896.1,6931e45a95082e6ab83ef6a6
2022-01-01 22:30:00,Çaydaçıra,6453.15,178.69,3088.99,6931e45a95082e6ab83ef6a7
2022-01-01 22:30:00,İzzetpaşa,3811.61,106.36,2900.88,6931e45a95082e6ab83ef6a8
2022-01-01 22:30:00,Sanayi,14121.47,82.0,51.72,6931e45a95082e6ab83ef6a9
2022-01-01 22:30:00,Kültürpark,8796.05,888.42,13.14,6931e45a95082e6ab83ef6aa
2022-01-01 22:30:00,Universite,15780.57,572.01,3965.88,6931e45a95082e6ab83ef6ab
2022-01-01 23:00:00,Çaydaçıra,5771.16,127.71,3274.75,6931e45a95082e6ab83ef6ac
2022-01-01 23:00:00,İzzetpaşa,3553.89,83.03,2964.32,6931e45a95082e6ab83ef6ad
2022-01-01 23:00:00,Sanayi,12404.06,80.13,50.59,6931e45a95082e6ab83ef6ae
2022-01-01 23:00:00,Kültürpark,7300.88,753.17,12.42,6931e45a95082e6ab83ef6af
2022-01-01 23:00:00,Universite,17124.64,532.85,4013.18,6931e45a95082e6ab83ef6b0
2022-01-01 23:30:00,Çaydaçıra,4646.92,111.36,3462.68,6931e45a95082e6ab83ef6b1
2022-01-01 23:30:00,İzzetpaşa,3305.2,61.91,2903.36,6931e45a95082e6ab83ef6b2
2022-01-01 23:30:00,Sanayi,13371.05,78.97,55.43,6931e45a95082e6ab83ef6b3
2022-01-01 23:30:00,Kültürpark,5880.82,395.38,13.83,6931e45a95082e6ab83ef6b4
2022-01-01 23:30:00,Universite,16300.46,481.78,3973.93,6931e45a95082e6ab83ef6b5
2022-01-02 00:00:00,Çaydaçıra,3764.1,66.28,3450.52,6931e45a95082e6ab83ef6b6
2022-01-02 00:00:00,İzzetpaşa,2622.07,42.52,2895.33,6931e45a95082e6ab83ef6b7
2022-01-02 00:00:00,Sanayi,15389.31,79.88,50.72,6931e45a95082e6ab83ef6b8
2022-01-02 00:00:00,Kültürpark,4335.96,809.07,14.14,6931e45a95082e6ab83ef6b9
2022-01-02 00:00:00,Universite,15475.61,474.09,4401.1,6931e45a95082e6ab83ef6ba
2022-01-02 00:30:00,Çaydaçıra,3395.27,60.06,3352.01,6931e45a95082e6ab83ef6bb
2022-01-02 00:30:00,İzzetpaşa,2843.24,48.23,3002.42,6931e45a95082e6ab83ef6bc
2022-01-02 00:30:00,Sanayi,13004.32,71.14,49.94,6931e45a95082e6ab83ef6bd
2022-01-02 00:30:00,Kültürpark,4344.14,889.37,13.97,6931e45a95082e6ab83ef6be
2022-01-02 00:30:00,Universite,15651.42,554.42,4240.67,6931e45a95082e6ab83ef6bf
2022-01-02 01:00:00,Çaydaçıra,2803.73,56.97,3258.39,6931e45a95082e6ab83ef6c0
2022-01-02 01:00:00,İzzetpaşa,2479.48,43.95,2982.65,6931e45a95082e6ab83ef6c1
2022-01-02 01:00:00,Sanayi,13673.09,80.42,52.51,6931e45a95082e6ab83ef6c2
2022-01-02 01:00:00,Kültürpark,4934.61,973.3,13.12,6931e45a95082e6ab83ef6c3
2022-01-02 01:00:00,Universite,14155.54,586.02,4169.64,6931e45a95082e6ab83ef6c4
2022-01-02 01:30:00,Çaydaçıra,3105.18,57.12,2806.83,6931e45a95082e6ab83ef6c5
2022-01-02 01:30:00,İzzetpaşa,2025.05,43.29,2907.92,6931e45a95082e6ab83ef6c6
2022-01-02 01:30:00,Sanayi,15454.73,84.9,48.64,6931e45a95082e6ab83ef6c7
2022-01-02 01:30:00,Kültürpark,5472.8,883.17,12.43,6931e45a95082e6ab83ef6c8
2022-01-02 01:30:00,Universite,17049.6,475.74,4244.04,6931e45a95082e6ab83ef6c9
2022-01-02 02:00:00,Çaydaçıra,2917.63,52.33,3327.26,6931e45a95082e6ab83ef6ca
2022-01-02 02:00:00,İzzetpaşa,2501.41,41.02,2980.35,6931e45a95082e6ab83ef6cb
2022-01-02 02:00:00,Sanayi,15488.24,75.88,50.48,6931e45a95082e6ab83ef6cc
2022-01-02 02:00:00,Kültürpark,5893.86,1077.11,13.88,6931e45a95082e6ab83ef6cd
2022-01-02 02:00:00,Universite,14034.97,596.96,4124.88,6931e45a95082e6ab83ef6ce
2022-01-02 02:30:00,Çaydaçıra,2963.03,49.4,3243.95,6931e45a95082e6ab83ef6cf
2022-01-02 02:30:00,İzzetpaşa,2031.34,32.52,2920.4,6931e45a95082e6ab83ef6d0
2022-01-02 02:30:00,Sanayi,15221.02,80.71,49.23,6931e45a95082e6ab83ef6d1
2022-01-02 02:30:00,Kültürpark,5156.12,1032.63,13.41,6931e45a95082e6ab83ef6d2
2022-01-02 02:30:00,Universite,17449.84,573.98,3871.74,6931e45a95082e6ab83ef6d3
2022-01-02 03:00:00,Çaydaçıra,2414.13,43.13,3146.02,6931e45a95082e6ab83ef6d4
2022-01-02 03:00:00,İzzetpaşa,1815.91,30.19,2771.24,6931e45a95082e6ab83ef6d5
2022-01-02 03:00:00,Sanayi,12717.56,82.14,47.15,6931e45a95082e6ab83ef6d6
